Nearest town,State,latitude,longitude,Severity confidence description,Intense precipitation amount,Intense precipitation period,Total precipitation,Total precipitation duration,Water course,acq_date,acq_time,Year,Month,season
,NSW,-29.649,151.218,Other measurement of rainfall.,32.5,30.0,33,0,,2007-02-26,04:30:00,2007,2,2
Canberra,NSW,-35.32,149.12,,0.0,0.0,0,0,,2007-02-27,11:00:00,2007,2,2
Menangle,NSW,-34.13,150.74,Bureau measurement of rainfall.,81.0,60.0,82,0,,2007-02-28,03:17:00,2007,2,2
Razorback,NSW,-34.148,150.635,Other measurement of rainfall.,40.0,30.0,40,0,,2007-02-28,03:45:00,2007,2,2
Sofala,NSW,-33.032,149.693,Other measurement of rainfall.,30.0,30.0,30,0,,2007-02-28,05:30:00,2007,2,2
Narrabeen,NSW,-33.715,151.285,,0.0,0.0,0,0,,2007-02-28,07:00:00,2007,2,2
Grafton,NSW,-29.68,152.93,,0.0,0.0,0,0,,2007-02-28,07:30:00,2007,2,2
Badgerys Creek,NSW,-33.815,150.768,Bureau measurement of rainfall.,52.0,36.0,56,0,,2007-03-01,07:25:00,2007,3,3
Girralong,NSW,-30.57,152.66,Bureau measurement of rainfall.,48.0,30.0,48,0,,2007-03-05,04:05:00,2007,3,3
Camden,NSW,-34.03,150.65,Other measurement of rainfall.,75.0,20.0,75,0,,2007-03-05,05:30:00,2007,3,3
Inverell,NSW,-29.67,151.15,Other measurement of rainfall.,35.0,15.0,65,0,,2007-03-08,04:30:00,2007,3,3
Yetman,NSW,-28.9,150.78,Other measurement of rainfall.,35.8,30.0,36,0,,2007-03-08,07:00:00,2007,3,3
Mount Kuring-gai,NSW,-33.64,151.14,Other measurement of rainfall.,44.0,20.0,44,0,,2007-03-20,05:50:00,2007,3,3
Asquith,NSW,-33.69,151.11,,0.0,0.0,0,0,,2007-03-20,05:55:00,2007,3,3
Kariong,NSW,-33.44,151.301,,0.0,0.0,0,0,,2007-03-20,06:00:00,2007,3,3
Hexham,NSW,-32.832,151.685,Estimate of rainfall (eg. from filling of receptacles).,50.0,40.0,50,0,,2007-03-20,06:55:00,2007,3,3
Rose Bay,NSW,-33.874,151.268,Bureau measurement of rainfall.,80.0,111.0,80,0,,2007-04-03,22:15:00,2007,4,3
Narrrabeen,NSW,-33.715,151.285,,0.0,0.0,0,0,,2007-04-22,10:20:00,2007,4,3
marks point,NSW,-33.06,151.651,Other measurement of rainfall.,125.0,735.0,125,0,,2007-06-08,08:15:00,2007,6,4
Coffs Harbour,NSW,-30.31,153.11,Bureau measurement of rainfall.,108.0,3.0,108,0,,2007-09-22,03:30:00,2007,9,1
Thora,NSW,-30.42,152.03,Other measurement of rainfall.,19.0,10.0,0,0,,2007-10-08,01:25:00,2007,10,1
Goonellabah,NSW,-28.8,153.32,Other measurement of rainfall.,22.0,20.0,0,0,,2007-10-08,06:30:00,2007,10,1
Lismore,NSW,-28.81,153.28,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2007-10-09,03:40:00,2007,10,1
Corndale,NSW,-28.68,153.37,Bureau measurement of rainfall.,32.0,12.0,0,0,,2007-10-09,04:00:00,2007,10,1
Uralla,NSW,-30.63,151.48,Estimate of rainfall (eg. from filling of receptacles).,40.0,10.0,0,0,,2007-10-25,08:00:00,2007,10,1
Ryde,NSW,-33.8,151.1,,0.0,0.0,0,0,,2007-10-26,04:30:00,2007,10,1
Merrylands West,NSW,-33.83,150.97,Bureau measurement of rainfall.,32.0,14.0,0,0,,2007-10-26,04:38:00,2007,10,1
Corndale,NSW,-28.68,153.37,Other measurement of rainfall.,38.0,30.0,0,0,,2007-10-26,07:00:00,2007,10,1
NEW LAMBton,NSW,-32.9,151.7,Other measurement of rainfall.,28.0,10.0,0,0,,2007-10-26,07:30:00,2007,10,1
Elsmore,NSW,-29.78,151.35,Bureau measurement of rainfall.,45.0,60.0,0,0,Macintyre River,2007-10-30,06:19:00,2007,10,1
Collector,NSW,-34.92,149.42,Estimate of rainfall (eg. from filling of receptacles).,55.0,40.0,0,0,,2007-11-18,08:00:00,2007,11,1
Nimmitabel,NSW,-36.5,149.28,Estimate of rainfall (eg. from filling of receptacles).,75.0,50.0,0,0,,2007-11-21,01:20:00,2007,11,1
Wingen,NSW,-31.87,150.88,Bureau measurement of rainfall.,51.0,120.0,56,0,,2007-11-21,13:00:00,2007,11,1
Port Macquarie,NSW,-31.42,152.92,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2007-11-22,05:00:00,2007,11,1
Wittitrin,NSW,-31.08,152.65,Bureau measurement of rainfall.,68.0,60.0,84,0,,2007-11-22,05:00:00,2007,11,1
Scone,NSW,-32.03,150.87,Bureau measurement of rainfall.,45.0,32.0,67,0,,2007-11-22,06:30:00,2007,11,1
Elands,NSW,-31.62,151.3,Bureau measurement of rainfall.,90.0,120.0,112,0,,2007-11-23,04:00:00,2007,11,1
Mt Seaview,NSW,-31.35,152.22,Other measurement of rainfall.,102.0,150.0,0,0,,2007-11-23,04:00:00,2007,11,1
Girralong,NSW,-30.57,152.65,Bureau measurement of rainfall.,51.0,60.0,0,0,,2007-11-23,05:10:00,2007,11,1
Temora,NSW,-34.43,147.51,Bureau measurement of rainfall.,30.0,30.0,0,0,,2007-11-25,06:40:00,2007,11,1
Cobar,NSW,-31.54,145.78,Bureau measurement of rainfall.,61.0,120.0,61,0,,2007-11-26,01:30:00,2007,11,1
Yanco,NSW,-34.62,146.43,Bureau measurement of rainfall.,50.4,180.0,0,0,,2007-11-26,09:00:00,2007,11,1
Broken Hill,NSW,-31.95,141.45,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2007-11-27,00:00:00,2007,11,1
Broken Hill,NSW,-31.95,141.45,Other measurement of rainfall.,30.0,40.0,0,0,,2007-11-27,07:30:00,2007,11,1
Snowball,NSW,-35.92,149.58,Bureau measurement of rainfall.,44.0,30.0,0,0,,2007-11-28,05:30:00,2007,11,1
Jerangle,NSW,-35.85,149.37,Bureau measurement of rainfall.,66.0,50.0,0,0,,2007-11-28,06:30:00,2007,11,1
Duri,NSW,-31.2,150.82,Bureau measurement of rainfall.,30.0,30.0,41,0,,2007-11-29,00:30:00,2007,11,1
Cootamundra,NSW,-34.63,148.03,Other measurement of rainfall.,40.0,20.0,0,0,,2007-11-29,01:10:00,2007,11,1
Cootamundra,NSW,-34.63,148.03,Estimate of rainfall (eg. from filling of receptacles).,36.0,30.0,0,0,,2007-11-29,01:11:00,2007,11,1
Kangy Angy,NSW,-33.32,151.38,Bureau measurement of rainfall.,36.0,22.0,0,0,,2007-11-29,07:23:00,2007,11,1
Figtree,NSW,-34.25,150.5,Bureau measurement of rainfall.,58.0,60.0,99,0,,2007-11-29,22:15:00,2007,11,1
Turramurra,NSW,-33.72,151.13,Estimate of rainfall (eg. from filling of receptacles).,40.6,30.0,0,0,,2007-11-30,01:45:00,2007,11,1
Googong Dam,NSW,-35.4,149.25,Bureau measurement of rainfall.,44.0,60.0,0,0,,2007-11-30,07:00:00,2007,11,1
Fraser,NSW,-35.2,149.05,Other measurement of rainfall.,52.0,90.0,0,0,,2007-11-30,08:50:00,2007,11,1
Weston creek,NSW,-35.35,149.05,,0.0,0.0,0,0,,2007-11-30,09:00:00,2007,11,1
Turner,NSW,-35.27,149.12,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2007-11-30,09:30:00,2007,11,1
Dubbo,NSW,-32.23,148.6,Bureau measurement of rainfall.,46.0,120.0,0,0,,2007-12-01,05:00:00,2007,12,2
Dubbo,NSW,-32.23,148.6,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2007-12-01,06:43:00,2007,12,2
Walcha,NSW,-30.07,151.58,Bureau measurement of rainfall.,40.0,60.0,48,0,,2007-12-02,07:40:00,2007,12,2
Inverell,NSW,-29.77,151.12,Other measurement of rainfall.,63.0,45.0,67,0,,2007-12-02,07:45:00,2007,12,2
Canowindra,NSW,-33.55,148.67,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2007-12-03,00:30:00,2007,12,2
Barooga,NSW,-35.9,145.68,Estimate of rainfall (eg. from filling of receptacles).,0.0,0.0,0,0,,2007-12-03,02:00:00,2007,12,2
Clarence Town,NSW,-32.58,151.78,Other measurement of rainfall.,54.0,30.0,0,0,,2007-12-03,03:30:00,2007,12,2
Canyonleigh,NSW,-34.58,150.12,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2007-12-03,03:40:00,2007,12,2
Willina,NSW,-32.17,152.27,Bureau measurement of rainfall.,38.0,30.0,47,0,,2007-12-03,04:30:00,2007,12,2
Krambach,NSW,-32.03,152.27,Other measurement of rainfall.,52.0,25.0,0,0,,2007-12-03,05:00:00,2007,12,2
Brooklyn,NSW,-33.53,151.22,Bureau measurement of rainfall.,0.0,0.0,104,0,Hawkesbury River,2007-12-04,03:30:00,2007,12,2
Gosford,NSW,-33.42,151.33,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2007-12-04,04:30:00,2007,12,2
Taylors arm,NSW,-30.75,152.72,Bureau measurement of rainfall.,37.0,30.0,0,0,,2007-12-04,04:56:00,2007,12,2
Manildra,NSW,-32.2,148.62,Estimate of rainfall (eg. from filling of receptacles).,0.0,0.0,50,0,,2007-12-05,03:30:00,2007,12,2
Mumbil,NSW,-32.7,149.05,Other measurement of rainfall.,112.0,90.0,0,0,,2007-12-05,06:10:00,2007,12,2
Mount Kembla,NSW,-34.42,150.82,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2007-12-05,19:30:00,2007,12,2
Figtree,NSW,-34.42,150.83,Bureau measurement of rainfall.,63.5,60.0,103,0,,2007-12-05,19:45:00,2007,12,2
Dubbo,NSW,-32.23,148.69,Other measurement of rainfall.,40.0,30.0,0,0,,2007-12-05,20:00:00,2007,12,2
Sydney,NSW,-33.85,151.2,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2007-12-05,20:20:00,2007,12,2
Lane Cove west,NSW,-33.8,151.15,Other measurement of rainfall.,30.0,20.0,0,0,,2007-12-05,20:55:00,2007,12,2
Mittagong,NSW,-34.43,150.27,,0.0,0.0,0,0,,2007-12-07,03:40:00,2007,12,2
Kellyville ridge,NSW,-33.7,150.92,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2007-12-07,05:00:00,2007,12,2
Cabramatta west,NSW,-33.88,150.9,Other measurement of rainfall.,35.0,30.0,0,0,,2007-12-07,05:00:00,2007,12,2
Eastlakes,NSW,-33.92,151.2,Other measurement of rainfall.,35.0,20.0,0,0,,2007-12-07,05:20:00,2007,12,2
Parkville,NSW,-31.97,150.87,Bureau measurement of rainfall.,30.0,20.0,0,0,,2007-12-07,07:50:00,2007,12,2
Mount Seaview,NSW,-31.35,152.22,Bureau measurement of rainfall.,0.0,0.0,81,0,,2007-12-09,04:00:00,2007,12,2
Booragul,NSW,-32.93,151.6,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2007-12-09,07:20:00,2007,12,2
Kahibah,NSW,-32.95,151.7,Other measurement of rainfall.,34.0,18.0,0,0,,2007-12-09,07:27:00,2007,12,2
Elsmore,NSW,-29.78,151.27,Bureau measurement of rainfall.,40.4,60.0,0,0,,2007-12-10,01:00:00,2007,12,2
Kendall,NSW,-31.62,152.7,Bureau measurement of rainfall.,55.0,90.0,0,0,,2007-12-16,07:00:00,2007,12,2
Hillston,NSW,-22.49,145.52,Bureau measurement of rainfall.,30.0,45.0,0,0,,2007-12-19,22:00:00,2007,12,2
deniliquin,NSW,-35.51,144.93,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2007-12-20,06:40:00,2007,12,2
Trangie,NSW,-31.99,147.95,Bureau measurement of rainfall.,40.0,30.0,70,0,,2007-12-21,11:30:00,2007,12,2
Batlow,NSW,-35.5,148.13,Other measurement of rainfall.,25.0,30.0,0,0,,2008-01-02,07:00:00,2008,1,2
Nundle,NSW,-31.45,151.13,Bureau measurement of rainfall.,27.0,24.0,0,0,,2008-01-06,02:17:00,2008,1,2
Long Flat,NSW,-31.42,152.48,Bureau measurement of rainfall.,66.0,120.0,0,0,,2008-01-06,05:15:00,2008,1,2
Inverell,NSW,-29.77,151.12,Other measurement of rainfall.,61.0,45.0,64,0,,2008-01-06,06:00:00,2008,1,2
Dubbo,NSW,-32.23,148.6,Estimate of rainfall (eg. from filling of receptacles).,30.0,30.0,0,0,,2008-01-16,02:55:00,2008,1,2
Dubbo,NSW,-32.22,148.58,Bureau measurement of rainfall.,38.0,30.0,43,0,,2008-01-16,03:00:00,2008,1,2
Rylstone,NSW,-32.78,149.97,Other measurement of rainfall.,27.7,30.0,0,0,,2008-01-16,04:10:00,2008,1,2
Cobar,NSW,-31.48,145.83,Bureau measurement of rainfall.,87.2,120.0,102,0,,2008-01-30,15:30:00,2008,1,2
Cobar,NSW,-31.54,145.8,Bureau measurement of rainfall.,43.0,60.0,57,0,,2008-01-30,16:00:00,2008,1,2
Bellambi,NSW,-34.37,150.93,Bureau measurement of rainfall.,35.0,30.0,38,0,,2008-01-31,06:02:00,2008,1,2
Bankstown,NSW,-33.92,150.98,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2008-01-31,07:00:00,2008,1,2
Quakers hill,NSW,-33.73,150.87,Estimate of rainfall (eg. from filling of receptacles).,50.0,30.0,0,0,,2008-01-31,08:10:00,2008,1,2
Tamworth,NSW,-31.07,150.84,Bureau measurement of rainfall.,33.6,30.0,44,0,,2008-01-31,08:41:00,2008,1,2
Mangrove Mountain,NSW,-33.29,151.21,Bureau measurement of rainfall.,48.8,60.0,65,0,,2008-01-31,11:00:00,2008,1,2
Krambach,NSW,-32.03,152.27,Other measurement of rainfall.,34.0,30.0,0,0,,2008-02-01,02:40:00,2008,2,2
Glendower Mountain,NSW,-31.13,151.23,Bureau measurement of rainfall.,70.2,90.0,82,0,,2008-02-01,04:30:00,2008,2,2
Tugrabakh,NSW,-31.95,151.98,Other measurement of rainfall.,100.0,60.0,0,0,,2008-02-01,05:30:00,2008,2,2
Woolbrook,NSW,-30.95,151.35,Other measurement of rainfall.,28.0,30.0,0,0,,2008-02-01,05:45:00,2008,2,2
White Cliffs,NSW,-30.85,143.09,Bureau measurement of rainfall.,56.0,360.0,0,0,,2008-02-02,22:00:00,2008,2,2
Avalon,NSW,-33.62,151.32,Bureau measurement of rainfall.,62.0,60.0,0,0,,2008-02-03,00:00:00,2008,2,2
Jindera,NSW,-35.95,146.88,Other measurement of rainfall.,72.0,90.0,0,0,,2008-02-03,00:20:00,2008,2,2
Nundle,NSW,-31.45,151.13,Other measurement of rainfall.,34.0,25.0,0,0,Peel River,2008-02-04,18:00:00,2008,2,2
Quipolly,NSW,-31.43,150.57,Other measurement of rainfall.,30.5,30.0,61,0,,2008-02-04,21:30:00,2008,2,2
Ogunbil,NSW,-31.33,151.28,Bureau measurement of rainfall.,66.0,180.0,0,0,,2008-02-04,22:20:00,2008,2,2
Bullaburra,NSW,-33.72,150.4,Other measurement of rainfall.,40.0,45.0,0,0,,2008-02-06,05:15:00,2008,2,2
Corndale,NSW,-28.68,153.37,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2008-02-06,05:45:00,2008,2,2
Springwood,NSW,-33.71,150.58,Other measurement of rainfall.,35.0,30.0,0,0,,2008-02-06,06:20:00,2008,2,2
Banora Point,NSW,-28.22,153.32,Other measurement of rainfall.,59.0,60.0,0,0,,2008-02-06,06:30:00,2008,2,2
Badgerys Creek,NSW,-33.9,150.73,Bureau measurement of rainfall.,55.2,60.0,87,0,,2008-02-06,06:30:00,2008,2,2
Bargo,NSW,-34.28,150.58,Other measurement of rainfall.,28.5,20.0,0,0,,2008-02-06,06:45:00,2008,2,2
Ingleburn,NSW,-33.98,150.85,Bureau measurement of rainfall.,35.0,30.0,0,0,,2008-02-06,07:00:00,2008,2,2
Peakhurst,NSW,-33.95,151.05,Bureau measurement of rainfall.,32.0,10.0,39,0,,2008-02-07,01:20:00,2008,2,2
Queanbeyan,NSW,-35.35,149.22,"Flash flooding reported, but no quantitative data available.",30.0,30.0,0,0,,2008-02-21,04:10:00,2008,2,2
Bilpin,NSW,-33.48,150.52,Bureau measurement of rainfall.,55.0,60.0,79,0,,2008-02-26,03:30:00,2008,2,2
Kanahooka,NSW,-34.48,150.82,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2008-02-26,04:55:00,2008,2,2
Oakdale,NSW,-34.07,150.5,Bureau measurement of rainfall.,35.0,30.0,40,0,,2008-02-26,05:15:00,2008,2,2
Cringila,NSW,-34.47,150.87,Bureau measurement of rainfall.,44.0,30.0,46,0,,2008-02-26,05:40:00,2008,2,2
Kahibah,NSW,-32.95,151.7,Other measurement of rainfall.,53.0,21.0,0,0,,2008-02-28,00:48:00,2008,2,2
Kotara,NSW,-32.92,151.68,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2008-02-28,00:50:00,2008,2,2
Blacktown,NSW,-33.77,150.9,Bureau measurement of rainfall.,51.0,90.0,51,0,,2008-03-07,10:10:00,2008,3,3
Mangrove Mountain,NSW,-33.29,151.21,Bureau measurement of rainfall.,65.0,60.0,72,0,,2008-03-07,11:15:00,2008,3,3
Mandalong,NSW,-33.12,151.42,,91.0,120.0,91,0,,2008-03-07,11:30:00,2008,3,3
Dooralong,NSW,-33.17,151.35,Bureau measurement of rainfall.,52.0,30.0,0,0,Jilliby Jilliby Creek,2008-03-07,11:30:00,2008,3,3
Wyong Creek,NSW,-33.25,151.31,Bureau measurement of rainfall.,70.0,30.0,90,0,Wyong River,2008-03-07,11:35:00,2008,3,3
Broken Hill,NSW,-31.95,141.45,"Flash flooding reported, but no quantitative data available.",10.75,120.0,0,0,,2008-03-23,04:40:00,2008,3,3
Ballina,NSW,-28.84,153.56,Bureau measurement of rainfall.,91.2,120.0,0,0,,2008-03-26,20:00:00,2008,3,3
Bungwahl,NSW,-32.35,152.4,Bureau measurement of rainfall.,66.0,120.0,90,0,,2008-04-07,18:00:00,2008,4,3
Kingston,NSW,-35.32,149.15,Other measurement of rainfall.,30.0,20.0,0,0,,2008-04-13,02:45:00,2008,4,3
Clarence Town,NSW,-32.58,151.77,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2008-04-13,06:15:00,2008,4,3
Nabiac,NSW,-32.12,152.33,Bureau measurement of rainfall.,40.0,30.0,42,0,,2008-04-13,07:55:00,2008,4,3
Blayney,NSW,-33.5318,149.2512,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2008-10-10,05:00:00,2008,10,1
Bellingen,NSW,-30.448,152.901,Other measurement of rainfall.,24.0,20.0,24,0,,2008-10-14,02:50:00,2008,10,1
MIRRANATWA,VIC,-37.4076,142.4126,Other measurement of rainfall.,20.0,20.0,20,0,,2006-01-19,12:15:00,2006,1,2
SKIPTON,VIC,-37.6853,143.3625,Other measurement of rainfall.,17.0,10.0,17,0,,2006-01-19,13:00:00,2006,1,2
SUNBURY,VIC,-37.5813,144.7136,Other measurement of rainfall.,41.0,60.0,41,0,,2006-01-20,07:50:00,2006,1,2
BENDIGO,VIC,-36.761,144.279,Other measurement of rainfall.,40.0,60.0,40,0,,2006-01-20,08:20:00,2006,1,2
CLUNES,VIC,-37.2958,143.7857,Other measurement of rainfall.,24.2,30.0,24,0,,2006-01-20,06:25:00,2006,1,2
EASTVILLE,VIC,-36.8725,143.9631,Other measurement of rainfall.,28.0,45.0,28,0,,2006-01-21,08:30:00,2006,1,2
MOUNT EGERTON,VIC,-37.6265,144.105,Bureau measurement of rainfall.,41.0,45.0,41,0,,2006-01-27,03:30:00,2006,1,2
MELTON,VIC,-37.6823,144.5801,Other measurement of rainfall.,20.0,8.0,20,0,,2006-01-27,04:15:00,2006,1,2
HOPPERS CROSSING,VIC,-37.8693,144.6934,Other measurement of rainfall.,55.0,25.0,55,0,,2006-01-27,04:10:00,2006,1,2
